id,nome,pais_original,pais_corrigido,nearest_cc,nearest_city,latitude,longitude,dist_km,hotel_count,status,nota
15776,Sühbaatar,RU,MN,MN,Baruun-Urt,46.209343,113.50772,55.2,8,Revisar (distância alta),
15783,Nordic countries,NO,SE,SE,Örnsköldsvik,62.918262,18.720287,41.4,8,Revisar (distância alta),
15784,Scania,SE,HR,HR,Zadar,44.324646,15.207169,23.3,1,Revisar (distância alta),
15801,Schinoussa,GR,TR,TR,Datça,36.68284,27.747335,8.3,5,OK,
15818,Scotts Bluff National Monument,ES,US,US,Gering,41.83388,-103.705666,3.8,6,OK,
15861,Seda (Latvia),RU,LV,LV,Valka,57.650288,25.75095,20.7,4,Revisar (distância alta),
15885,Selçuk,GB,TR,TR,Tekirdağ,40.99126,27.221922,24.3,26,Revisar (distância alta),
15950,Seward,RU,US,US,Liberal,37.18503,-100.892845,16.0,40,Revisar (distância alta),
15959,Shades State Park,TR,US,US,Crawfordsville,39.93918,-87.08177,21.0,6,Revisar (distância alta),
15969,Shamrock,BR,US,US,Pampa,35.21422,-100.24901,73.7,22,Revisar (distância alta),
16107,Shrewsbury (Pennsylvania),DE,US,US,Red Lion,39.768757,-76.67965,16.0,12,Revisar (distância alta),
16109,Sringeri,IN,AU,AU,Bairnsdale,-37.02301,147.2396,94.8,13,Revisar (distância alta),
16149,Sigiriya,IN,LK,LK,Dambulla,7.94981,80.746346,14.4,25,OK,
16260,Skåneleden,DE,SE,SE,Södra Sandby,55.736164,13.557117,13.4,1,OK,
16270,Skibotn,FI,NO,NO,Tromsdalen,69.3908,20.267845,56.6,4,Revisar (distância alta),
16292,Slobozia,GB,RO,RO,Răchitoasa,46.474945,27.311106,6.3,7,OK,
16299,Småland,SE,NO,NO,Stjørdal,63.597675,10.706141,17.8,5,Revisar (distância alta),
16333,Road 55 (Norway),NO,US,US,Paris,44.231377,-70.544044,4.7,18,OK,
16345,Soldeu,FR,AD,AD,Canillo,42.576893,1.668269,5.9,6,OK,
16430,Southeast Arizona,MX,CZ,CZ,Bystřice nad Pernštejnem,49.4763,16.16517,8.7,39,OK,
16447,Southern Bukovina,RO,CZ,CZ,Líšeň,49.29737,16.7732,11.5,8,OK,
16479,South Moravia,CZ,US,US,Centerville,40.890663,-92.82049,18.0,1,Revisar (distância alta),
16499,Southwest Florida,MX,ES,ES,Calp,38.6783,0.08935,5.4,4,OK,
16514,Sozopol,TR,BG,BG,Pomorie,42.418156,27.694313,17.0,2,Revisar (distância alta),
16538,Spillville,CZ,US,US,Decorah,43.205177,-91.95113,17.3,1,Revisar (distância alta),
16560,Spring Grove (Minnesota),NO,US,US,Decorah,43.561016,-91.63595,31.1,10,Revisar (distância alta),
16600,Stanstead,CA,GB,GB,Sudbury,52.106323,0.690961,8.0,10,OK,
16603,St. Anton,US,CH,CH,Altstätten,47.409943,9.535172,3.7,6,OK,
16631,Stein am Rhein,CH,DE,DE,Rielasingen-Worblingen,47.659733,8.859682,8.5,15,OK,
16650,Stevns,MX,DK,DK,Køge,55.281,12.43741,25.4,11,Revisar (distância alta),
16651,Stewart,CA,US,US,Cusseta,32.073273,-84.84831,26.8,16,Revisar (distância alta),
16666,St. Ignace,US,CA,CA,Beaurivage,46.69754,-65.0789,9.2,6,OK,
16678,St. Joseph Island,CA,US,US,Sault Ste. Marie,46.189407,-83.931114,46.6,26,Revisar (distância alta),
16726,Storm Lake,MX,ES,ES,Arona,28.05203,-16.71774,6.4,4,OK,
16760,Stromboli,IS,IT,IT,Tropea,38.80435,15.236799,58.9,16,Revisar (distância alta),
16772,Stubaier Gletscher,AT,IT,IT,Vipiteno,46.991886,11.117223,26.1,4,Revisar (distância alta),
16811,Sulemania,TR,IN,IN,Patna,25.6,85.210785,7.6,18,OK,
16832,Sundarbans (Bangladesh),IN,BD,BD,Sarankhola,22.023989,89.31361,58.6,2,Revisar (distância alta),
16833,Sundarbans National Park,IN,US,US,Shady Hollow,30.154978,-97.789696,7.1,26,OK,
16861,Sur,CN,IT,IT,Chiavenna,46.521122,9.631054,28.6,33,Revisar (distância alta),
16866,Surfside (Texas),MX,US,US,Freeport,28.950706,-95.28743,7.0,20,OK,
16909,Eswatini,ZA,SZ,SZ,Manzini,-26.56248,31.399132,7.3,2,OK,
16911,Swedesboro,SE,US,US,Paulsboro,39.747612,-75.31046,11.0,10,OK,
