id,nome,pais_code,hotelCount
27641,"Hatoma",JP,5
5491,"Central Laos",TH,5
26941,"Nousiainen",FI,5
20247,"Naracoorte",AU,5
21871,"Calbiga",PH,5
12746,"Neupré",DE,5
26281,"El-Obeid",EG,5
16812,"Sulina",RO,5
16500,"Rivierenland",NL,5
1322,"Parque Nacional de Gorilas de Mgahinga",PT,5
3462,"Aruba",NL,5
16786,"New Zealand Subantarctic Islands",NZ,5
25152,"Cross River National Park",GB,5
24115,"Ashburnham",CA,5
20291,"Bize Minervois",FR,5
453,"China",CN,5
10519,"Lamayuru",IN,5
19987,"Lockhart",AU,5
27148,"L'Estany",ES,5
27305,"Jökulsárgljúfur",IS,5
21516,"World War II",DE,5
9671,"Karawaci",ID,5
27253,"Ice cream",CN,5
12320,"Mount Datuk",ID,5
867,"Jakar",PT,5
23036,"Igaliku",GL,5
19059,"Zanskar",IN,5
13079,"North Jutland",DK,5
7448,"Fiordland National Park",NZ,5
24058,"Shenkeng",JP,5
27196,"Manapouri",NZ,5
15219,"Sacramento County",MX,5
28092,"Thong Pha Phum National Park",TH,5
2464,"Rangel",PT,5
20123,"Tuchan",FR,5
25748,"Munga-Thirri–Simpson Desert National Park",AU,5
26042,"Vulkathunha-Gammon Ranges National Park",AU,5
24602,"Wadi El Natrun",EG,5
28096,"Mae Ping National Park",TH,5
26886,"Ilomantsi",FI,5
15594,"Santa Cruz de Mompox",CO,5
21352,"Huascarán National Park",PE,5
23536,"Tibasosa",CO,5
24383,"Sandvika",NO,5
21280,"Aberffraw",GB,5
15283,"Saint Kitts and Nevis",GB,4
27161,"Korean palaces",CN,4
27211,"Mariental",ZA,4
11596,"Marstrand",SE,4
1326,"Parque Nacional de Manovo-Gounda St. Floris",PT,4
11680,"Maybee",DE,4
26929,"Pielavesi",FI,4
927,"Kourou",PT,4
22835,"Los Alerces National Park",AR,4
27966,"Bamanpukur",IN,4
22052,"Paranas",PH,4
24711,"Drumshanbo",IE,4
5401,"Castletownshend",IE,4
8530,"Hartberg",AT,4
12585,"Namhae",KR,4
545,"Deli",PT,4
20289,"Mollepata",PE,4
23237,"Gulf Islands National Park Reserve",CA,4
27523,"Scott Pilgrim locations",CA,4
26160,"Arturo Merino Benítez International Airport",CL,4
27531,"Mount Sibayak",ID,4
22587,"Anholt",SE,4
7465,"Fitzgerald River National Park",AU,4
5784,"Chimayó",MX,4
20364,"Mataura",NZ,4
8878,"Hornsea",GB,4
26921,"Pyhäjoki",FI,4
15699,"Sathing Phra",TH,4
11644,"Matawai",NZ,4
28381,"Česká Kanada",CA,4
4993,"Åland",FI,4
20680,"Abington (Scotland)",GB,4
27124,"Cap Skirring",SN,4
22590,"Inland of Finland Proper",FI,4
26448,"Arthur-Pieman Conservation Area",AR,4
7061,"El Aaiún",MA,4
24011,"Driving in Japan",JP,4
25597,"Kiskunmajsa",HU,4
23032,"Bengtskär",FI,4
26379,"New Italy",IT,4
11526,"Margao",PT,4
11999,"Minlaton",AU,4
