hotel_id,nome,old_destino_id,pais_code,razao
349725,Yorkshire Sculpture Park,27015,GB,cidade
349726,Ekeberg Park,27015,,
349727,Kröller-Müller Museum Sculpture Garden,27015,,
349728,Parikkala Sculpture Park,27015,RU,cidade
349729,Millesgården,27015,,
349730,Frederik Meijer Gardens & Sculpture Park,27015,,
349731,Storm King Sculpture Park,27015,,
349732,Inhotim,27015,,
349733,[[Manhattan/Financial District#,27015,,
349734,[[Kevadia#Q7604504,27015,,
349735,[[Rio de Janeiro/Zona Sul#Q79961,27015,,
349736,[[Volgograd,27015,,
349737,[[Novgorod,27015,,
349738,Trevi Fountain,27015,,
349739,[[Brussels/Centre#Q152072,27015,,
349740,Palace of Versailles,27015,,
349741,Peterhof Grand Palace,27015,DE,cidade
349742,[[Xilitla#Q11688402,27015,,
349743,[[Barcelona/Gràcia#Q212867,27015,,
349744,[[Los Angeles/South Central#Q445256,27015,,
349745,Museo Subacuático de Arte,27015,,
350093,Altyn-Emel East,27036,,
350094,Altyn-Emel Central,27036,,
350095,Altyn-Emel West,27036,,
350096,Barsakelmes island,27036,,
350097,Kaskakulan,27036,,
350098,Bereketli Garagum,27036,,
350099,Gaplangyr,27036,,
350100,Repetek,27036,,
350101,Yeradzhi,27036,,
350102,Saigachy,27036,,
350103,Saigachy-Beleuli,27036,,
350104,Saigachy-Duana,27036,,
350105,Saigachy-Zhideyli,27036,,
350106,Southern Ustyurt,27036,,
350147,Noushirvān,27042,,
350148,Āhovān,27042,,
350149,Parand,27042,,
350150,Robāt-e Sharaf,27042,,
350151,Anjireh Ājori,27042,,
350152,Anjireh Sangi,27042,,
350157,Sheikhali Khān,27042,,
350158,Maranjāb,27042,,
350161,Mahyār,27042,,
350164,Mazinān,27042,,
350166,Zafarāniyeh,27042,,
350168,Sarāyān,27042,,
350172,Miāndasht,27042,,
350175,Farasfaj,27042,,
350178,Ganjali Khān,27042,,
350180,Khājeh Nazar,27042,,
351002,Adelaide Arcade,27095,AU,cidade
351003,David Jones,27095,,
351004,Myer,27095,,
351005,Queen Victoria Building,27095,,
351006,Galeries Royales Saint-Hubert,27095,,
351007,Churin,27095,PE,cidade
351008,Shanghai No. 1 Department Store,27095,CN,cidade
351009,Shanghai YongAn Department Store,27095,CN,cidade
351010,Xiangshan Commercial Culture Museum,27095,,
351011,Bazar de l'Hôtel de Ville (BHV),27095,,
351012,Le Bon Marché,27095,,
351013,Galeries Lafayette,27095,,
351014,La Samaritaine,27095,,
351015,Printemps,27095,,
351016,KaDeWe,27095,,
351017,[[Milan/Centro Storico#Q51112,27095,,
351018,[[Milan/Centro Storico#La Rinascente,27095,,
351020,Mitsukoshi,27095,GB,pais
351021,Takashimaya,27095,,
351023,[[Mexico_City/Polanco#,27095,MX,pais
351024,[[Ulaanbaatar#Q125944026,27095,,
351025,De Bijenkorf,27095,,
351026,Smith & Caughey's,27095,,
351027,[[Helsinki/Central#Q644390,27095,,
351028,[[Stockholm/Norrmalm#Q1998385,27095,,
351029,[[Copenhagen/Indre By#Q72923107,27095,,
351030,[[Copenhagen/Indre By#Q11976960,27095,,
351031,[[Oslo/Sentrum#Q7605855,27095,,
351032,Moscow GUM Department Store,27095,RU,cidade
351033,Moscow TSUM,27095,RU,cidade
351034,Hayashi Department Store,27095,,
351035,Fortnum & Mason,27095,,
351036,Harrods,27095,,
351037,Harvey Nichols,27095,US,cidade
351038,Liberty,27095,,
351039,Selfridges,27095,,
351040,Bergdorf Goodman,27095,,
351041,Bloomingdale's,27095,,
355526,Latvian Museum of Pharmacy,27515,,
355529,Surgeons' Hall Museums,27515,,
355531,Hunterian Museum,27515,,
355532,The Old Operating Theatre,27515,,
355640,Woodbine Beach,27523,,
355641,Lee's Palace,27523,,
355642,Toronto Reference Library,27523,CA,cidade
355928,[[Stonehenge]],27552,GB,bracket
355929,[[Avebury]],27552,GB,bracket
