hotel_id,nome,old_destino_id,pais_code,razao
355930,Great Circle at Stanton Drew,27552,,
355931,Ring of Brodgar,27552,,
355932,Callanish Stones,27552,,
355933,Boscawen-Un,27552,,
355934,Maeshowe tumulus,27552,,
355935,Skara Brae,27552,SE,cidade
355936,Dolmens of Poulnabrone,27552,,
355937,Newgrange,27552,,
355938,Carrowmore Megalithic Site,27552,,
355939,Menhir from Devil's Arrows,27552,,
355940,Punchestown Long Stone,27552,,
355941,Ales Stenar,27552,,
355942,Blå Jungfrun,27552,,
355943,Rune stones from Jelling,27552,,
355944,[[Carnac]],27552,GB,bracket
355945,Locmariaquer,27552,,
355946,Menhir of Kerloas,27552,,
355947,Menhir of Champ-Dolent,27552,,
355948,Stone rows of Lagatjar,27552,,
355949,La Roche aux Fées,27552,,
355950,Dolmens of Gavrinis,27552,,
355951,Dolmens de la Pierre Levée,27552,,
355952,Dolmens of Fades,27552,,
355953,Menhir of Clendy,27552,,
355954,Seven stone houses,27552,,
355955,Royal tomb of Groß Berßen,27552,,
355956,Large stone tombs on the Buschhöhe,27552,,
355957,Devil's stones,27552,,
355958,Goseck,27552,,
355959,Circular ditch system Pömmelte,27552,,
355960,Cromlech from Almendres,27552,,
355961,Cromlech from Portela de Mogos,27552,,
355962,Cromlech of Vale Maria do Meio,27552,,
355963,Dolmens of Menga,27552,,
355964,Dolmens of Soto,27552,,
355965,Antequera Dolmens,27552,ES,cidade
355966,Anta Grande do Zambujeiro,27552,,
355967,Megalithic temples of Ġgantija,27552,,
365685,[[Amritsar]],28441,IN,bracket
365686,[[Ayodhya]],28441,IN,bracket
365687,[[Chitrakoot]],28441,IN,bracket
365688,[[Hampi]],28441,IN,bracket
365689,[[Kolkata]],28441,IN,bracket
365690,[[Rameswaram]],28441,IN,bracket
365691,[[Varanasi]],28441,IN,bracket
365692,[[Janakpur]],28441,NP,bracket
365693,[[Kathmandu]],28441,NP,bracket
365694,[[Colombo]],28441,BR,bracket
365695,[[Nuwara Eliya]],28441,LK,bracket
365696,[[Trincomalee]],28441,LK,bracket
365862,Slamet Riyadi Street,28466,,
365863,[[Aguas Calientes]],28466,AR,bracket
365864,Shifen Old Street,28466,,
