destino_id,destino_nome,pais,pais_code,hotel_count
24938,National Route 83,AU,AU,12
17764,Turkestan,XX,XX,12
26287,Rivière-aux-Outardes,XX,XX,12
23914,Vilanova i la Geltrú,XX,XX,12
26352,Mogo,XX,XX,12
26745,Koplik,XX,XX,12
26558,Orimattila,XX,XX,12
25984,Zec des Martres,XX,XX,12
17938,Uvalde,XX,XX,12
19215,Columbia Falls,XX,XX,12
22683,Tapak Tuan,XX,XX,12
28153,Dongtai,XX,XX,12
23406,Scano di Montiferro,XX,XX,12
21140,El Verano,XX,XX,12
16323,Soc Trang,XX,XX,12
25570,Székesfehérvár district,XX,XX,12
15001,Roatán,XX,XX,12
27387,Perris,XX,XX,12
22784,Nordic Noir,XX,XX,12
19120,Zoar,XX,XX,12
17707,Tskhinvali,XX,XX,12
19546,Iron Range,XX,XX,12
17214,Telegraph Cove,XX,XX,12
20650,Sandstone,XX,XX,12
24368,Wildlife of the Southern Ocean,XX,XX,12
24034,Valbona Valley National Park,XX,XX,12
21445,Kakamega Rainforest,XX,XX,12
22914,Jvari,XX,XX,12
27907,Nambucca Heads,XX,XX,12
27199,Trebišov,XX,XX,12
21801,Sumbawanga,XX,XX,12
24514,Kitwanga,XX,XX,12
24373,Bantul,XX,XX,12
22434,Liptovska Mara,XX,XX,12
21574,Ocean liners,XX,XX,12
21264,Varzaneh,XX,XX,12
28441,Diwali,GB,GB,12
26895,Lappeenranta countryside,XX,XX,11
27745,Lapplandsleden,XX,XX,11
16984,Tacuarembó,XX,XX,11
21599,Neubrandenburg,XX,XX,11
16622,St Buryan,XX,XX,11
25976,Saint-Leu,XX,XX,11
25866,Ilara-Mokin,XX,XX,11
26707,Sombor,XX,XX,11
25781,Abak,XX,XX,11
25934,Akko (Gombe),XX,XX,11
20783,Júzcar,XX,XX,11
25885,Gbongan,XX,XX,11
24162,Guigang,XX,XX,11
20967,Maldonado,XX,XX,11
24664,Mostaganem,XX,XX,11
27013,Sivrihisar,XX,XX,11
27082,Sant Feliu de Guíxols,XX,XX,11
26747,Vau i Dejës,XX,XX,11
27105,Parc del Garraf,XX,XX,11
18236,Volcano Village,XX,XX,11
23026,Central Gran Canaria,XX,XX,11
19982,O.R. Tambo International Airport,XX,XX,11
24133,Carraroe,XX,XX,11
23459,Arslanbob,XX,XX,11
25834,Ibokun,XX,XX,11
25086,Ilaro,XX,XX,11
21141,Sarnico,XX,XX,11
27376,Griswold,XX,XX,11
27544,Durga Puja,XX,XX,11
17329,Thirukkarugavur,XX,XX,11
25961,Njobbore,XX,XX,11
26158,South Penghu Marine National Park,XX,XX,11
17998,Valley View,XX,XX,11
26280,Godbout,XX,XX,11
26405,Klaten,XX,XX,11
27219,Horna Orava,XX,XX,11
18444,Wayland,XX,XX,11
18879,Yalta,XX,XX,11
20338,Levanzo,XX,XX,11
22153,Nichinan,XX,XX,11
19874,Nuclear tourism,XX,XX,11
26081,Orocovis,XX,XX,11
25713,Starke,XX,XX,11
26268,Rivière-Saint-Jean,XX,XX,11
25940,Efon-Alaaye,XX,XX,11
18029,Van Horn,XX,XX,11
25451,Notre-Dame-du-Mont-Carmel,XX,XX,11
26089,Martvili,XX,XX,11
10263,Kuala Kangsar,XX,XX,11
24890,Walgett,XX,XX,11
16592,Standish,XX,XX,11
17054,Talin,XX,XX,11
25503,Suleja,XX,XX,11
25724,Oba,XX,XX,11
27847,Balaguer,XX,XX,11
26626,Gicumbi,XX,XX,11
27730,Miles,XX,XX,11
15128,Rottingdean,XX,XX,11
22949,Searchlight,XX,XX,11
22379,Troutdale,XX,XX,11
21696,Cloghane,XX,XX,11
26402,Bichi,XX,XX,11
26156,Mount Merbabu National Park,XX,XX,11
25897,Binji,XX,XX,11
27835,Tàrrega,XX,XX,11
22715,Damyang,XX,XX,11
27955,Ecuador national parks,XX,XX,11
24716,Karabakh,XX,XX,10
28250,Payson,XX,XX,10
20765,Ranipur,XX,XX,10
25015,Old Oyo National Park,XX,XX,10
24744,Alaminos (Laguna),XX,XX,10
21233,Tarui,XX,XX,10
28378,Sindoro-Sumbing,XX,XX,10
22867,Cattaraugus,XX,XX,10
27005,Manaoag,XX,XX,10
22264,Land of the Red Rocks,XX,XX,10
27611,Fengbin,XX,XX,10
23023,Southern Gran Canaria,XX,XX,10
25953,Joggins,XX,XX,10
19264,Petralia Sottana,XX,XX,10
27171,Calkini,XX,XX,10
18428,Waterville Valley,XX,XX,10
27809,Tremp,XX,XX,10
10337,Ku-ring-gai Chase National Park,XX,XX,10
24717,Dounan,XX,XX,10
18435,Wau (South Sudan),XX,XX,10
25231,Schmallenberg,XX,XX,10
23186,Kpalime,XX,XX,10
17866,Umm al Quwain,XX,XX,10
25703,Tigers,XX,XX,10
16897,Sveti Stefan,XX,XX,10
24239,Vonyarcvashegy,XX,XX,10
24078,Borden-Carleton,XX,XX,10
26496,Agona,XX,XX,10
15212,Sabinal,XX,XX,10
21289,Shardlow,XX,XX,10
26377,Southern Ocean County,XX,XX,10
27789,Montblanc,XX,XX,10
23358,Talisay (Cebu),XX,XX,10
27250,Nymburk,XX,XX,10
26265,Baie-Johan-Beetz,XX,XX,10
11421,Mandya,XX,XX,10
11514,Marausa,XX,XX,10
25453,Zec Jeannotte,XX,XX,10
27202,Allegany State Park,XX,XX,10
22754,Gurjaani,XX,XX,10
26322,Guptipara,XX,XX,10
20692,Alaminos,XX,XX,10
22716,Tankavaara,XX,XX,10
28310,Pabellón de Arteaga,XX,XX,10
28328,Nanchuan,XX,XX,10
26486,Contai,XX,XX,10
11210,Maasai Mara National Reserve,XX,XX,10
20166,Kings Langley,XX,XX,10
24311,Santana core,XX,XX,10
27626,South Stradbroke Island,XX,XX,10
22577,Salar de Uyuni,XX,XX,10
25393,Corozal (Puerto Rico),XX,XX,10
25728,Doral,XX,XX,10
23021,Jinshan (New Taipei),XX,XX,10
13014,North Canton,XX,XX,10
23615,Warwick Parish,XX,XX,10
27692,Marinette,XX,XX,10
17062,Talysh Region,XX,XX,10
25354,Saint-Narcisse,XX,XX,10
19381,Bearsden,XX,XX,10
26498,Nalerigu,XX,XX,10
25768,Eket,XX,XX,10
23320,Narok,XX,XX,10
26411,Karanganyar,XX,XX,10
21425,Valmiera,XX,XX,10
26365,Wildlife of Madagascar,XX,XX,10
25539,Saint-Barnabé,XX,XX,10
27424,Rakovski,XX,XX,10
28268,Omeo,XX,XX,10
28412,Berlanga de Duero,XX,XX,10
26682,Chard,XX,XX,10
26463,Urunga,XX,XX,10
15550,San Miguel (El Salvador),XX,XX,10
24450,Janjgir,XX,XX,10
16478,South Luangwa National Park,XX,XX,10
27843,Boekel,XX,XX,10
23731,Isulan,XX,XX,10
25466,Connersville,XX,XX,10
20710,Tabuk (Kalinga),XX,XX,10
25729,Live Oak,XX,XX,10
15501,Sangkhla Buri,XX,XX,10
25902,Ode Omu,XX,XX,10
27594,Apsley Falls,XX,XX,10
