"destino_id","destino_nome","pais_encontrado","hotel_count","classificacao","acao","prioridade_acao","latitude","longitude","motivo"
"15584","Santa Clara (Cuba)","Cuba","5","real","manter","","22.406628","-79.9651013","lugar (/administrative, imp=0.50)"
"19413","Lake Macquarie","Australia","5","real","manter","","-33.0374325","151.5294684","lugar (/administrative, imp=0.46)"
"17060","Tallmadge","United States","5","real","manter","","41.1014616","-81.4417989","lugar (/administrative, imp=0.40)"
"23782","Carmen (Bohol)","Philippines","5","real","manter","","9.824334","124.1983784","lugar (/town, imp=0.42)"
"25504","Alchevsk","Ukraine","5","real","manter","","48.4701987","38.8010178","lugar (/administrative, imp=0.52)"
"6075","Mount Hood and Columbia Gorge","United States","5","real","manter","","45.1523572","-122.8312632","POI real (photon: amenity/bank)"
"20306","Lackawanna","United States","5","real","manter","","41.4406084","-75.6260271","lugar (/administrative, imp=0.57)"
"26316","Byurakan","Armenia","5","real","manter","","40.3387135","44.2688648","lugar (/village, imp=0.46)"
"25827","Fugar","Nigeria","5","real","manter","","7.0872383","6.4970566","lugar (/town, imp=0.16)"
"20288","Durtal","France","5","real","manter","","47.6705186","-0.2453787","lugar (/administrative, imp=0.54)"
"26202","Merlin","Hungary","5","real","manter","","47.4961527","19.0562667","lugar (/arts_centre, imp=0.34)"
"16687","St. Mary","United States","5","real","manter","","29.692329","-91.442465","lugar (/administrative, imp=0.51)"
"21871","Calbiga","Philippines","5","real","manter","","11.6274469","125.0170454","lugar (/town, imp=0.37)"
"21113","Payette-Fruitland","United States","5","real","manter","","44.0088935","-116.916414","lugar (/administrative, imp=0.38)"
"19310","Krka National Park","Croatia","5","real","manter","","43.9189188","15.9785288","lugar (/national_park, imp=0.42)"
"23910","Marigot (Dominica)","Dominica","5","real","manter","","15.5364632","-61.2793643","lugar (/village, imp=0.36)"
"26030","Arikok National Park","Aruba","5","real","manter","","12.4931388","-69.9254772","lugar (/national_park, imp=0.32)"
"28269","Stock Island","United States","5","real","manter","","24.5672697","-81.7389769","lugar (/town, imp=0.38)"
"24907","Olompali–Petaluma–Sonoma historic parks","United States","5","real","manter","","38.1518341","-122.5776536","lugar (/park, imp=0.43) (nome limpo)"
"23130","Larkspur and Corte Madera","United States","5","real","manter","","37.9340605","-122.5274961","estrada/percurso (photon: highway/cycleway)"
"25896","Nafada","Nigeria","5","real","manter","","11.0505637","11.2551261","lugar (/administrative, imp=0.28)"
"27689","Tumbarumba","Australia","5","real","manter","","-35.7764898","148.010062","lugar (/administrative, imp=0.40)"
"26495","Wenchi","Ghana","5","real","manter","","7.738011","-2.103519","lugar (/town, imp=0.16)"
"26815","Panshet","India","5","real","manter","","18.3499357","73.5595578","lugar (/reservoir, imp=0.13)"
"25767","Ibeno","Nigeria","5","real","manter","","4.5580121","8.1085551","lugar (/administrative, imp=0.30)"
"26941","Nousiainen","Finland","5","real","manter","","60.5992408","22.0840745","lugar (/administrative, imp=0.46)"
"26817","Butler Beach","United States","5","real","manter","","29.795459","-81.2648056","lugar (/census, imp=0.35)"
"15223","Safety Harbor","United States","5","real","manter","","27.9908529","-82.6931553","lugar (/administrative, imp=0.44)"
"18051","Vashon Island","United States","5","real","manter","","47.4208759","-122.4737053","lugar (/island, imp=0.43)"
"17867","Umm Salal Mohammed","قطر","5","real","manter","","25.4094679","51.4208426","estrada/percurso (photon: highway/tertiary)"
"25627","Chobhar","Nepal","5","real","manter","","27.6660412","85.2912665","lugar (/suburb, imp=0.29)"
"27259","Mažeikiai","Lithuania","5","real","manter","","56.3110483","22.3484725","lugar (/administrative, imp=0.51)"
"21041","Săpânța","Romania","5","real","manter","","47.9165464","23.6638409","lugar (/administrative, imp=0.46)"
"26607","San Joaquín (Querétaro)","Mexico","5","real","manter","","20.9990848","-99.4913185","lugar (/administrative, imp=0.34)"
"26079","Yarra Ranges National Park","Australia","5","real","manter","","-37.6100368","145.588107","lugar (/nature_reserve, imp=0.37)"
"28352","Sumberlawang","Indonesia","5","real","manter","","-7.3311139","110.858295","lugar (/town, imp=0.16)"
"21485","Bhandarej","India","5","real","manter","","21.1225869","79.794509","lugar (photon: boundary/administrative)"
"26211","Keitele","Finland","5","real","manter","","62.8863783","26.0462527","lugar (/lake, imp=0.47)"
"24060","Matapédia","Canada","5","real","manter","","47.9741641","-66.9531464","lugar (/administrative, imp=0.40)"
"21609","Hanseatic League","Germany","5","real","manter","","53.564866","10.0371001","lugar pequeno real (baixa importancia no OSM)"
"23115","White Sands (Vanuatu)","Vanuatu","5","real","manter","","-17.8182464","168.3990322","lugar (/hamlet, imp=0.13)"
"20524","Mohenjo-daro","Pakistan","5","real","manter","","27.3253251","68.1349412","lugar pequeno (/park, imp=0.08)"
"11353","Malda","India","5","real","manter","","25.0057449","88.1398483","lugar (/city, imp=0.48)"
"26942","Hirvensalmi","Finland","5","real","manter","","61.6413044","26.7763836","lugar (/administrative, imp=0.45)"
"27396","Candelaria Caves National Park","Guatemala","5","real","manter","","15.8699999","-90.1425022","lugar (/attraction, imp=0.00) (nome limpo)"
"21101","Balmazújváros","Hungary","5","real","manter","","47.6116279","21.3437378","lugar (/administrative, imp=0.47)"
"22193","South Ronaldsay","United Kingdom","5","real","manter","","58.7845053","-2.9507071","lugar (/island, imp=0.43)"
"26795","Pravets","Bulgaria","5","real","manter","","42.8956755","23.9148925","lugar (/administrative, imp=0.50)"
"25566","Bushnell's Basin","United States","5","real","manter","","43.0612987","-77.4758544","lugar (/hamlet, imp=0.13)"
"27408","Spotsylvania","United States","5","real","manter","","38.1880936","-77.6741751","lugar (/administrative, imp=0.55)"
"28030","Hojancha","Costa Rica","5","real","manter","","9.9753794","-85.4113709","lugar (/administrative, imp=0.43)"
"24193","Sultan Eshkashim","XX","5","real","manter","","","","nao encontrado; classificado como real (provavelmente existe)"
"27304","Pazardzhik","Bulgaria","5","real","manter","","42.1486841","24.1531871","lugar (/administrative, imp=0.59)"
"26736","Omitlán","Mexico","5","real","manter","","17.116944","-99.507778","lugar (/hamlet, imp=0.13)"
"16459","Southern Paraneña","Philippines","5","real","manter","","14.5622577","121.0587063","ambiguo (photon: office/lawyer); classificado como real (provavelmente existe)"
"26264","Minganie","Canada","4","real","manter","","50.6720872","-62.5258837","lugar (/administrative, imp=0.42)"
"21274","Church Bay (Anglesey)","United Kingdom","4","real","manter","","53.3738635","-4.5560075","lugar (/beach, imp=0.11)"
"24751","Lagos City/Lagos Island","Nigeria","4","real","manter","","6.4550575","3.3941795","lugar (/city, imp=0.65)"
"23591","Kettle Falls","United States","4","real","manter","","48.6105163","-118.056337","lugar (/administrative, imp=0.36)"
"28037","Menfi","Italy","4","real","manter","","37.606639","12.967843","lugar (/administrative, imp=0.48)"
"19652","Mangilao","United States","4","real","manter","","13.4439915","144.8050528","lugar (/census, imp=0.41)"
"18042","Vardenis","Armenia","4","real","manter","","40.184574","45.7269788","lugar (/town, imp=0.48)"
"26547","Reggane","Algeria","4","real","manter","","26.7207267","0.1751507","lugar (/administrative, imp=0.45)"
"22401","Canton-Massillion Metropolitan Area","India","4","real","manter","","22.6364899","88.4120228","lugar (photon: railway/station)"
"27290","Maarat al-Numan","سوريا","4","real","manter","","35.6500209","36.6780571","POI real (photon: historic/archaeological_site)"
"23923","Kumana National Park","Sri Lanka","4","real","manter","","6.6186785","81.6649958","lugar (/national_park, imp=0.29)"
"20762","Pacitan","East Java","4","real","manter","","-8.1017184","111.1446711","lugar (/administrative, imp=0.45)"
"22969","Sangla Hill","Pakistan","4","real","manter","","31.7169296","73.3760623","lugar (/town, imp=0.16)"
"23032","Bengtskär","Finland","4","real","manter","","59.723041","22.4991453","lugar (/islet, imp=0.30)"
"11063","Los Alamitos","United States","4","real","manter","","33.8038865","-118.0772433","lugar (/administrative, imp=0.49)"
"19924","Kalka","India","4","real","manter","","30.8249757","76.8826281","lugar (/aerodrome, imp=0.38)"
"25939","Upenekang","Nigeria","4","real","manter","","4.5703642","7.9756233","lugar (/town, imp=0.16)"
"20991","Bardsey Island","United Kingdom","4","real","manter","","52.756892","-4.7886019","lugar (/island, imp=0.42)"
"26978","Ajingi","Nigeria","4","real","manter","","11.958974","9.0338731","lugar (/administrative, imp=0.31)"
"25400","Santa Isabel (Puerto Rico)","United States","4","real","manter","","17.9902179","-66.3926341","lugar (/administrative, imp=0.46)"
"22568","Orania","South Africa","4","real","manter","","-29.8178034","24.4118567","lugar (/town, imp=0.38)"
"27559","Ringim","Nigeria","4","real","manter","","12.1658289","9.1100548","lugar (/administrative, imp=0.29)"
"27198","Sobrance","Slovakia","4","real","manter","","48.7446501","22.1806628","lugar (/administrative, imp=0.49)"
"25931","Dadin Kowa","Nigeria","4","real","manter","","10.6988","8.62756","lugar (/administrative, imp=0.19)"
"15465","Sand Springs","United States","4","real","manter","","36.1394339","-96.1100025","lugar (/administrative, imp=0.43)"
"27531","Mount Sibayak","Indonesia","4","real","manter","","3.2393517","98.5047584","lugar (/volcano, imp=0.41)"
"26160","Arturo Merino Benítez International Airport","Chile","4","real","manter","","-33.3892733","-70.7900043","nao encontrado; classificado como real (provavelmente existe); coords via photon"
"8949","Mid-Hudson and Catskills","United States","4","real","manter","","41.5209882","-74.0257592","POI real (photon: amenity/clinic)"
"15103","Rosh Haniqra","ישראל","4","real","manter","","33.0857479","35.1150819","lugar (photon: place/village)"
"25967","Idoani","Nigeria","4","real","manter","","7.296036","5.846875","lugar (/village, imp=0.15)"
"27536","Immokalee","United States","4","real","manter","","26.42016","-81.4222408","lugar (/census, imp=0.40)"
"16446","Southern Barbados","Barbados","4","real","manter","","13.0776596","-59.5233004","lugar (/administrative, imp=0.13)"
"22052","Paranas","Philippines","4","real","manter","","11.7716478","125.0225953","lugar (/town, imp=0.37)"
