id,nome,pais_code,hotels,type_note
19008,"Yukon - Charley Rivers National Preserve",CA,6,potential place — needs geocoding
26267,"Vårdö",FI,6,potential place — needs geocoding
23101,"Uranium City",CA,6,potential place — needs geocoding
28099,"Northwest Tyrol",IT,6,potential place — needs geocoding
24520,"Kilmallock",IE,6,potential place — needs geocoding
19418,"Mark Twain National Forest",TR,6,potential place — needs geocoding
27368,"Langøya",NO,6,potential place — needs geocoding
26380,"Alberto de Agostini National Park",CL,6,topic/activity
26904,"East Central Finland",FI,6,potential place — needs geocoding
15579,"Santa Barbara County",EG,5,potential place — needs geocoding
21871,"Calbiga",PH,5,potential place — needs geocoding
23293,"Rangitoto Island",NZ,5,potential place — needs geocoding
23036,"Igaliku",GL,5,potential place — needs geocoding
27196,"Manapouri",NZ,5,potential place — needs geocoding
26941,"Nousiainen",FI,5,potential place — needs geocoding
27148,"L'Estany",ES,5,potential place — needs geocoding
21041,"Săpânța",RO,5,potential place — needs geocoding
