id,nome,pais_code,pais,hotelCount
1330,"Parque Nacional de Nahanni",PT,PT,7
28091,"Phu Toei National Park",TH,TH,7
1400,"Phuentsholing",BT,BT,7
19487,"Pom Pom Island",MY,MY,7
17609,"Rail travel in New Zealand",NZ,NZ,7
22363,"Rengasdengklok",ID,ID,7
26883,"Ristijärvi",FI,FI,7
27897,"Roslagsleden",SE,SE,7
15138,"Routeburn Track",NZ,NZ,7
15224,"Safiental",CH,CH,7
15247,"Saimaa",FI,FI,7
27728,"San Mauro Mare",IT,IT,7
23256,"Sandane",NO,NO,7
16116,"Shuswap",CA,CA,7
26413,"Siikainen",FI,FI,7
16721,"Stonewall (Texas)",US,US,7
19898,"Stuart Island",CA,CA,7
15739,"Sânnicolau Mare",RO,RO,7
17118,"Tarapoto",PE,PE,7
23874,"Thandwe",MM,MM,7
17301,"Thaton (Thailand)",TH,TH,7
17315,"Thenmala",IN,IN,7
26877,"Tuusniemi",FI,FI,7
17996,"Valley of 1000 Hills",ZA,ZA,7
2117,"Villa Mercedes",AR,AR,7
18059,"Vágar",FO,FO,7
18296,"Waipukurau",NZ,NZ,7
18482,"Wellingborough",GB,GB,7
18554,"West Jutland",DK,DK,7
18810,"Worthington (Minnesota)",US,US,7
18887,"Yamba",AU,AU,7
25456,"Zec Borgia",CA,CA,7
25552,"Zirc",HU,HU,7
20189,"Årjäng",NO,NO,7
2985,"Ako",JP,JP,6
21572,"Albenga",IT,IT,6
26380,"Alberto de Agostini National Park",CL,CL,6
26566,"Amatikulu Nature Reserve",ZA,ZA,6
22158,"Anambas",CN,CN,6
188,"Bahariyya",GB,GB,6
21619,"Bai Tu Long Bay",VN,VN,6
4139,"Belen",MX,MX,6
4363,"Big White",CA,CA,6
26347,"Commerce (Georgia)",US,US,6
21212,"Curacautín",CL,CL,6
25263,"Dharug National Park",AU,AU,6
19259,"Diving at Three Kings Islands",NZ,NZ,6
6905,"Eagle Nest",MX,MX,6
26904,"East Central Finland",FI,FI,6
6934,"East Estonia",RU,RU,6
28350,"Fountains",NZ,NZ,6
26659,"Franklin (Tasmania)",AU,AU,6
7960,"Glencolmcille",IE,IE,6
8789,"Hoedspruit",ZA,ZA,6
27503,"Horinger",CN,CN,6
25267,"Hunter Wetlands National Park",AU,AU,6
27685,"Idlib",SY,SY,6
20428,"Jasmund National Park",DE,DE,6
22171,"Karesuvanto",IT,IT,6
9750,"Kawarthas",CA,CA,6
10083,"Ko Bulon Leh",TH,TH,6
26848,"Kragerø",NO,NO,6
28364,"Krnov",CZ,CZ,6
23281,"Laiyuan County",CN,CN,6
27368,"Langøya",NO,NO,6
10580,"Lao Cai",VN,VN,6
27454,"Licheń Stary",PL,PL,6
11025,"Long Bay",US,US,6
11257,"Madidi National Park",PE,PE,6
28258,"Mahjong",GB,GB,6
21326,"Mapungubwe National Park",ZA,ZA,6
19418,"Mark Twain National Forest",TR,TR,6
11567,"Marlinton",TR,TR,6
26391,"Maurya Empire",CN,CN,6
20464,"Mpande",ZA,ZA,6
26246,"Multia",FI,FI,6
26723,"Neom",EG,EG,6
20566,"Niepołomice",PL,PL,6
28099,"Northwest Tyrol",IT,IT,6
13113,"Northwest Washington",CA,CA,6
24365,"Puerto Williams",AR,AR,6
