id,nome,pais_code,pais,hotelCount
1615,"Salvaterra",BR,BR,4
26771,"Beaconsfield (Tasmania)",AU,AU,4
26446,"Hanle",IN,IN,4
15842,"Sea to Sky",CA,CA,4
10665,"Lötschental",CH,CH,4
1747,"São Miguel do Oeste",BR,BR,4
13951,"LaSalle-Peru",PE,PE,4
26483,"Parikkala",RU,RU,4
5214,"Canna",GB,GB,4
1537,"Reserva Natural das Lagoas de Santo André e de Santa Sancha",PT,PT,4
27764,"Volcan Cosigüina",MX,MX,4
25389,"Ceiba",PR,PR,4
8013,"Golden Triangle (Thailand)",TH,TH,4
26264,"Minganie",CA,CA,4
18531,"Western Transdanubia",HU,HU,4
14669,"Quintay",CL,CL,4
24081,"Zaouiat Ahansal",MA,MA,3
5975,"Clonmacnoise",IE,IE,3
13352,"Oltrepò Pavese",IT,IT,3
19052,"Zamyn-Üüd",CN,CN,3
24557,"Axim",GH,GH,3
14416,"Prairies",FR,FR,3
27349,"Irabu",JP,JP,3
23386,"Tabant",MA,MA,3
25137,"Sotenäs",SE,SE,3
25352,"Stronsay",GB,GB,3
19428,"Barra de Potosí",MX,MX,3
1875,"Tarawa",KI,KI,3
23230,"Qamishli",TR,TR,3
27810,"Murjek",NO,NO,3
21360,"Icelandic hot springs",IS,IS,3
19967,"Uusimaa",FI,FI,3
25623,"Dibulla",CO,CO,3
7890,"Ghat (Libya)",IT,IT,3
8938,"Huayna Potosí",CL,CL,3
27456,"Šilutė",LT,LT,3
17084,"Tana",MG,MG,3
11510,"Maras",TM,TM,3
26885,"Pihtipudas",FI,FI,3
2412,"Mae Sai",TH,TH,3
11392,"Manawatu",NZ,NZ,3
1503,"Puerto Quijarro",BO,BO,3
26691,"Paltamo",FI,FI,3
10107,"Kohoku",JP,JP,3
27027,"Uiryeong",KR,KR,3
21701,"Älvsbyn",SE,SE,3
24613,"Porrentruy",CH,CH,3
17115,"Taranaki",NZ,NZ,3
26774,"Fertile Crescent",TR,TR,3
14940,"Rifle",US,US,3
21246,"Liquiçá",TL,TL,3
28351,"Jovellar",PH,PH,3
27900,"Yumurtalık",CN,CN,3
21310,"Wallachian Plain",RO,RO,3
145,"Arquipélago de Anavilhanas",BR,BR,3
17884,"Upcountry Árnessýsla",IS,IS,3
14656,"Queyras",FR,FR,3
26610,"Taranna",AU,AU,3
8651,"Hellvik",NO,NO,3
22938,"Auvergne-Rhône-Alpes",FR,FR,3
24351,"Shlisselburg",RU,RU,3
22665,"Chablis",FR,FR,3
23749,"Southern Great Plain",HU,HU,3
4659,"Bra",IT,IT,3
20914,"Haĺšany",PL,PL,3
26891,"Evijärvi",FI,FI,3
942,"La Libertad",EC,EC,3
7400,"Făgăraș",RO,RO,3
26263,"Palashi",IN,IN,3
26553,"Bonampak",MX,MX,3
27317,"Rydal",AU,AU,3
23173,"Paekākāriki",NZ,NZ,3
18893,"Yanbian",CN,CN,3
16895,"Svealand",SE,SE,3
21085,"Râu de Mori",RO,RO,3
27427,"Wadi al-Dawasir",SA,SA,3
15178,"Russia to Japan via Sakhalin",JP,JP,3
393,"Capital (Venezuela)",VE,VE,2
1648,"San Marino",SM,SM,2
4174,"Belogorsk",RU,RU,2
5527,"Chałupy",PL,PL,2
1832,"St. James",US,US,2
21818,"Smara",MA,MA,2
6586,"Dengue fever",AU,AU,2
2014,"Urmia",IR,IR,2
11668,"Mauricie",CA,CA,2
24527,"Guanajay",CU,CU,2
893,"Jordânia",BR,BR,2
152,"Arua",UG,UG,2
19390,"Bhimashankar",IN,IN,2
9655,"Kappil",IN,IN,2
19787,"Nankana Sahib",PK,PK,2
23751,"Hardap",ZA,ZA,2
2468,"Sri Jayawardenapura Kotte",PT,PT,2
27905,"Sahagún",CO,CO,2
22576,"Hvaler",NO,NO,2
5098,"Cai Rong",VN,VN,2
12680,"Nausori",FJ,FJ,2
22795,"Pyramiden",SE,SE,2
